id,name,groupId,price
97,ITLV Оливки зел.миндал.ж/б.300г,FD0205013,29.9900
3679459,Кн.Бар.Вор.Шевч.ЕГЭ Обествозн.,NF0901008,229.0000
3705,SEEB Миндаль копч/обж.с сол150г,FD0214005,199.0000
5723,Пиво СИБ.КОР.КЛАС.св.ст/б 0.5л,FD0804003,57.4900
3667365,OREO Мор.с дроб.печ.гл.20% 62г,FR0407003,97.9000
3636910,HAUS.Нож SANTOKUPRO кух.18см,NF1804007,898.0000
3675879,LEG.Тетр.ФЗ АЛГЕБРА кл.48л,NF0701001,29.9000
3416444,СЕВЗАПУГОЛЬ Мангал сбор.+6шамп.,NF1202004,269.9900
3505546,PODR.Мякоть помидора 390г,FD0205010,90.9900
3444287,INGREEN Наб.садов.инструментов,NF1304002,119.9900
3370229,OPIUM Колг.SURPR.40denVBvis.p.4,NF1109001,114.9900
3663039,1TOY Игр.ВОДНОЕ ОРУЖИЕ Т59450,NF0502013,39.9900
3675880,LEG.Тетр.ФЗ АНГЛИЙСКИЙ кл.48л,NF0701001,29.9000
22588,LONDA Крем кр.ТЕМНО ПЕПЕЛ.№25,FD0908001,99.0000
22597,LONDA Крем кр.ПЕП.БЕЛОКУР.50мл,FD0908001,99.0000
3618147,Кн.Моя чудесная дача,NF0901008,49.9000
454545,Весовая уценка,FR1105008,109.9900
34872,SEEB.Абрикосы ЭКСТРА мягкие 200,FD0224002,249.9900
3416094,Блюдо ДЕКО,NF1807009,48.9900
3441015,МАРТИ Уши свин.копч.к пиву 100г,FR0701008,44.9900
3184129,М.СОЛ.Шамп.с ромаш.с рожд.200мл,FD0301003,69.9900
3643707,GL.Осв.возд.AUT.Гр/пион см269мл,FD0901001,225.0000
44255,Мороженое TU FOOD сливочное со,FR0407002,383.9900
3416447,Кубики парафиновые         12шт,NF1202003,139.9900
46901,Ананас кубики микс сушеный  1кг,FD0224003,249.0000
3485065,ORAL-B Насадка см.д/эл.з/щ 3шт,FD0902003,1359.0000
49046,И ЗИМОЙ И ЛЕТ.Смесь ГАВАЙС.400г,FR0401004,75.9900
3497644,PR-PR.Альбом БОЛ.КОРАБЛЬ 16л,NF0701001,9.9000
53819,SEEB.Орех  ЭКСТРА грецкий  150г,FD0214002,199.0000
3474560,LETTO Полот.ваф.KRH03 47х62см,NF1701002,29.9900
3636968,Кн.изд.Полный справ.школ: 2кл.,NF0901008,169.9900
3636974,Школьный справочник,NF0901008,49.9900
3384959,СТОЕВ.Аджика груз.ПЕРЕЧН. 120г,FD0220010,31.9000
3636981,ДЕС.КОР.Игра ИГР.В АЛФАВИТ 1942,NF0514001,119.9900
3679525,ZELV.Ложка разлив.GU14203,NF1804005,198.9900
90069,LUM.Кружка НОРДИК         380мл,NF1807003,28.9900
3470362,"ФР.САД Комп.ВИШН.пр.д/п.1,93л",FD0805004,161.9900
3679530,РОСМЭН Кн.Подг.к шк.Говор.прав.,NF0901008,57.4900
3446051,"З.АПТ.САД.Рег.рост.АТЛ.амп1,5мл",NF1305003,3.6900
3636998,Кн.Капитанская дочка,NF0901008,129.0000
2033405,ZINGER Кусачки д/маникюра узкие,NF0412001,469.7700
3637195,Кн.Умн.мышонок Рас.Леп.Апп.,NF0901008,119.0000
3384962,BONDUEL.Шамп.мар.цел.ст/б 580мл,FD0205002,198.9900
3432008,KOOP.Пакет д/непищ.пр.35x10x10,NF1401001,69.9000
3618303,Кн.Секр.здор.Лечеб.свойст.прян.,NF0901008,49.9900
